log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modelname;round name;time;valid loss;valid ppl;ppl;;;;Valid  perplexity ;Dropout 0.0;Dropout 0.2;Dropout 0.4;Dropout 0.6;Dropout 0.8;;;;;;;;;;;;;;;;;;;
Model 1;1;10.22;5.6;269.79;629.54;;;;Epoch 1;269.79;241.33;250.85;218.21;242.23;;;;;;;;;;;;;;perplexity ;Dropout 0.0;Dropout 0.2;Dropout 0.4;Dropout 0.6;Dropout 0.8
Model 1;2;11.48;4.98;145.02;188.99;;;;Epoch 2;145.02;147.01;146.08;152.47;183.88;;;;;;;;;;;;;;Epoch 1;629.54;621.76;604.67;584.42;618.69
Model 1;3;12.76;4.8;121.12;115.61;;;;Epoch 3;121.12;116.14;119.45;127.32;162.94;;;;;;;;;;;;;;Epoch 2;188.99;188.92;198.34;210.76;269.09
Model 1;4;12.1;4.65;104.89;87.75;;;;Epoch 4;104.89;106.88;104.49;115.51;153.22;;;;;;;;;;;;;;Epoch 3;115.61;124.5;136.44;155.07;215.95
Model 1;5;11.91;4.61;100.69;71.7;;;;Epoch 5;100.69;96.72;98.14;105.44;146.96;;;;;;;;;;;;;;Epoch 4;87.75;96.57;109.96;131.47;194.46
Model 1;6;11.35;4.56;96.05;60.46;;;;Epoch 6;96.05;90.53;92.39;99.5;139.49;;;;;;;;;;;;;;Epoch 5;71.7;81.4;94.83;116.62;180.41
Model 1;7;11.27;4.56;95.23;51.29;;;;Epoch 7;95.23;87.43;90.49;94.61;136.29;;;;;;;;;;;;;;Epoch 6;60.46;71.12;84.96;106.81;173.87
Model 1;8;11.32;4.61;100.46;42.95;;;;Epoch 8;100.46;86.69;86.12;93.23;133.36;;;;;;;;;;;;;;Epoch 7;51.29;63.25;77.86;100.66;167.03
Model 1;9;11.31;4.49;88.83;32.55;;;;Epoch 9;88.83;86.17;84.7;90.38;130.35;;;;;;;;;;;;;;Epoch 8;42.95;56.91;72.32;94.88;161.46
Model 1;10;11.47;4.51;90.77;27.73;;;;Epoch 10;90.77;87.05;82.76;88.58;128.34;;;;;;;;;;;;;;Epoch 9;32.55;51.15;68.16;91.17;159
